feature,score
url,0.26483210819094616
increase,0.06498069834733858
lead,0.03825554895217166
stop,0.03778608693102068
study,0.03770360031265185
help,0.0230864305282048
research,0.02289367735610386
cause,0.02184384018705246
url url,0.021725442566653545
science,0.018970115236061735
problem,0.018352529132978454
death,0.01787422820511414
people,0.01526814036127339
health,0.012985967993474677
change,0.010986587626441831
important,0.010850431620524284
weight,0.009936969087148285
life,0.00987725430470016
think,0.009779210405103992
good,0.00888750694245678
