feature,score
USER,2.2979694078745676
url,2.1707649594454805
look,1.8749172221212846
medical,1.74941551570251
late,1.7423057091375762
increase,1.7381476591592853
science url,1.6802480483033768
hashtag_eurekamag,1.5183550085021449
scientist,1.4791033694273432
stem,1.4408551578961795
site,1.4161016534098887
post,1.3780005302203957
publish,1.3777660530724571
analysis,1.3493711894813925
address,1.3223646326008758
therapy,1.2954155102914082
research,1.2888915458070473
discover,1.2724791840091347
program,1.26741392319341
associate,1.261037925080148
