feature,score
stop,59.633642264714005
support,35.59132241802032
url,35.410477957978394
health,30.916696077131544
study,28.46860179951499
risk,21.978857090855783
research,15.764846058818586
reduce,15.344717661743312
virus,15.098812908250183
science,13.405282265805614
cancer,13.24738587116686
therapy,13.112510234560805
brain,12.731026894539783
help,12.126883952290735
infection,11.223223166388003
cell,11.165188711729582
scientist,10.775928229755593
blood,10.350579698893933
sleep,10.182114532433841
article,10.02613799802574
