feature,score
url,2.934223863969336
increase,2.1506101997075286
study,1.8465070005423398
research,1.6121342361516595
stop,1.5229136779278114
lead,1.3454948396114177
science,1.1371425226051295
hashtag_eurekamag,1.0676891182139587
scientist,1.0136460485068919
brain,0.9299828612253653
find,0.8996569517379515
sex,0.8879257868687982
problem,0.8306601356272123
use,0.8103804292313266
cause,0.7353259165093778
change people,0.7191066663560802
health,0.7179011186540338
help,0.70185936597948
poverty,0.6947980943631028
fear,0.6942043591076642
