feature,score
url,2.248585279595281
increase,1.6398136338413958
study,1.4657984707225662
research,1.1759780283572743
stop,1.155210272904462
science,0.9399193466977153
lead,0.883905757337164
hashtag_eurekamag,0.8359150923260655
health,0.8213403715056717
prevent,0.8027271405986673
scientist,0.7581891815267157
brain,0.7155151024388965
memory,0.7056950408056081
cause,0.6838477993002716
treat,0.6638574880307364
lose,0.6634366854305545
help,0.6547474682221911
find,0.6416709366995322
new,0.6294209399940008
use,0.6079094650628147
