feature,score
url,1.984568683357239
increase,1.1354649082398252
eurekamag,1.09204975442939
support,1.0073674290457577
url USER,0.8546971315031228
stop,0.8236582474619409
scientist,0.8134380668828791
brain,0.8001149545158932
study,0.7733612113670001
find,0.7565486079247279
lead,0.7337752876657192
new,0.7199653888450589
help,0.6748723056557708
use,0.6514031119084672
url url,0.5995329738651641
risk,0.5547144755423736
accord,0.5369817208198872
climate,0.5207416092639375
treatment,0.5087237842823343
think,0.5070433136592036
