feature,score
stop,3.6857050243556717
support,3.317758382439327
research,2.543634880329672
fear,2.066848380112083
health,2.043106307104222
report,1.9394314253860654
control,1.9144385950755864
trump,1.6288529993286798
read,1.6200647402387265
demand,1.6168805669558335
european,1.602418763922738
url USER,1.5990144953669185
article,1.5736655076823753
climate,1.557432754823664
sleep,1.509277900077743
risk,1.4882658955947545
process,1.4799205471865609
host,1.479361552589842
deadly,1.4735283889286532
price,1.4195242540740318
engineer,1.414952370720426
cancer,1.4117632415312498
continue,1.3713923800350278
money,1.337710557228974
week,1.3370629062524717
deliver,1.3178044521265688
USER url,1.2988203888147571
healthy,1.2871489416157587
fire,1.2854383896159918
body,1.2817253976575933
public,1.2791031531625134
brain,1.2681891379396086
poverty,1.2668323814162243
help,1.2502163458079483
treat,1.2447342323961754
force,1.240667660589397
work,1.2370729574745285
need,1.229576851323286
USER,1.2241191328335115
USER USER,1.21942585683798
head,1.216123868575417
house,1.2113204825422321
president,1.2110689865807758
sale,1.201425326906791
discover,1.2008247001292174
decrease,1.1967111212884063
url,1.1844557347049625
magic,1.1792738437501287
gun,1.1690346750798828
game,1.160312942353531
ocean,1.151030749133595
study,1.148211652889954
know,1.1470897033248482
wedding,1.129465828778994
exercise,1.1285486621209386
ptsd,1.126660343390558
notice,1.1183010051768907
drug,1.1025305137087333
one,1.0954662895276304
thing,1.093717316030943
tax,1.0834030161791675
cell,1.0817965062571813
win,1.0678329839661906
climate change,1.0665563073938977
case,1.0560069869397197
grant,1.0557654579285705
center,1.050252537681006
new york,1.0427497734432578
emotional,1.041569987273597
new study,1.0393039194148288
request,1.0236255669132985
fat,1.0201850640327814
give,1.0180915937896282
pile,1.0147374110931187
fix,1.0133124410412153
virus,1.0100972838514939
stem,1.0094337286306885
women,1.0074713954950278
hashtag_eurekamag,1.0052466730794831
sweet,1.0026288164569288
reduction,1.001400775545625
interview,0.9969316547917711
join,0.9960829799186787
publish,0.994780833101487
blood,0.994226671734854
science,0.9925282528184254
hashtag_science,0.9853340637294372
cover,0.9833581642506033
complex,0.9761442258927688
follow,0.9747228940137584
sing,0.974273833985349
people treat,0.9716886629279488
death,0.9679473770622247
report url,0.9671546004713246
miss,0.9558117435508673
tough,0.9529642523616607
reading,0.9422560666549138
card,0.9415207210151758
girl,0.93866320941533
sign,0.9374834828699995
change,0.9346623665584068
abuse,0.9334119787488404
USER good,0.9318266152244179
blue,0.9304639048606119
accord,0.9282369625072366
check,0.9280004540806697
enable,0.9261100881501628
scientist,0.924400366329141
